customer_city,order_purchase_date,Total_sales
Alta Floresta,2018-06-08,176.2
Alta Floresta,2018-06-09,278.15999999999997
Alta Floresta,2018-06-11,262.12
Alta Floresta,2018-08-14,80.91
Altamira,2017-02-01,281.4
Altamira,2017-03-20,262.35
Altamira,2017-04-09,75.53
Altamira,2017-05-08,64.74
Altamira,2017-06-18,106.10999999999999
Altamira,2017-07-03,152.18
Altamira,2017-07-30,85.91
Altamira,2017-08-11,149.23
Altamira,2017-08-16,298.84000000000003
Altamira,2017-08-17,423.05
Altamira,2017-09-05,362.19000000000005
Altamira,2017-09-12,149.82
Altamira,2017-09-22,313.55
Altamira,2017-10-04,754.56
Altamira,2017-12-26,66.03999999999999
Altamira,2018-01-31,116.51
Altamira,2018-02-07,124.33000000000001
Altamira,2018-02-24,56.9
Altamira,2018-02-28,224.76
Altamira,2018-03-08,166.16
Altamira,2018-03-23,157.37
Altamira,2018-04-29,235.95000000000002
Altamira,2018-06-14,94.12
Altamira do Parana,2018-08-16,239.78
Altaneira,2017-05-24,93.55000000000001
Altaneira,2017-10-17,130.03
Altaneira,2018-08-16,130.02
Alterosa,2018-01-18,36.69
Alterosa,2018-04-09,391.21999999999997
Altinho,2018-07-18,607.4
Altinopolis,2017-07-02,1284.25
Altinopolis,2018-01-03,72.48
Altinopolis,2018-02-12,80.87
Alto Alegre,2017-05-22,237.32
Alto Alegre,2018-05-20,76.17
Alto Alegre,2018-08-26,165.72
Alto Alegre do Iguacu,2017-07-24,185.36
Alto Alegre do Iguacu,2018-07-12,83.00999999999999
Alto Alegre do Iguacu,2018-07-27,75.75
Alto Alegre do Maranhao,2018-07-31,123.32000000000001
Alto Alegre do Pindare,2017-02-18,67.84
Alto Alegre do Pindare,2018-07-05,259.56
Alto Araguaia,2017-03-07,387.66999999999996
Alto Araguaia,2018-01-06,78.64
Alto Araguaia,2018-02-03,166.16
Alto Araguaia,2018-03-03,485.59000000000003
Alto Araguaia,2018-06-11,158.45000000000002
Alto Araguaia,2018-07-27,62.74
Alto Araguaia,2018-08-04,133.42000000000002
Alto Boa Vista,2017-07-24,91.0
Alto Boa Vista,2017-09-25,42.94
Alto Boa Vista,2018-01-24,46.69
Alto Boa Vista,2018-03-02,91.0
Alto Boa Vista,2018-07-25,90.94
Alto Caparao,2017-12-18,197.5
Alto Caparao,2018-07-30,324.58
Alto Garcas,2017-11-13,252.89
Alto Garcas,2017-12-08,91.74
